true,predicted,confidence
Surprise,Fear,0.9769183993339539
Surprise,Fear,0.9655157923698425
Disgust,Anger,0.9533427953720093
Disgust,Anger,0.9470365047454834
Surprise,Disgust,0.9406130313873291
Disgust,Anger,0.9345160722732544
Surprise,Fear,0.9280809164047241
Happy,Fear,0.9259852766990662
Sad,Disgust,0.9202592968940735
Neutral,Sad,0.9147129058837891
Surprise,Anger,0.9121769070625305
Happy,Anger,0.9108954071998596
Surprise,Anger,0.907601535320282
Disgust,Anger,0.9071887135505676
Sad,Disgust,0.900318443775177
Neutral,Fear,0.8955275416374207
Happy,Disgust,0.8841206431388855
Fear,Surprise,0.8701107501983643
Surprise,Disgust,0.8700742721557617
Happy,Surprise,0.8673525452613831
Surprise,Fear,0.8625696301460266
Happy,Anger,0.8588993549346924
Fear,Sad,0.857434868812561
Happy,Neutral,0.8573538661003113
Neutral,Disgust,0.8556623458862305
Surprise,Fear,0.8542940616607666
Sad,Fear,0.8487074971199036
Neutral,Sad,0.8462797999382019
Neutral,Disgust,0.8402213454246521
Disgust,Sad,0.8389120697975159
Neutral,Sad,0.8305877447128296
Neutral,Sad,0.82841956615448
Happy,Neutral,0.8282062411308289
Happy,Surprise,0.8281619548797607
Neutral,Disgust,0.818116307258606
Neutral,Sad,0.8171152472496033
Neutral,Disgust,0.8114103078842163
Fear,Sad,0.8089790344238281
Happy,Anger,0.8060626983642578
Sad,Disgust,0.8035750985145569
Neutral,Sad,0.8024886250495911
Happy,Disgust,0.8020480871200562
Disgust,Anger,0.8018260598182678
Neutral,Sad,0.8015081882476807
Disgust,Sad,0.8008075952529907
Disgust,Sad,0.7957781553268433
Fear,Anger,0.7936240434646606
Sad,Anger,0.792364776134491
Sad,Neutral,0.7915831208229065
Neutral,Sad,0.7909984588623047
Neutral,Sad,0.7906348705291748
Happy,Neutral,0.7859343886375427
Happy,Anger,0.7812279462814331
Neutral,Surprise,0.7812259197235107
Neutral,Sad,0.7757974863052368
Happy,Fear,0.7755639553070068
Happy,Disgust,0.7748392224311829
Happy,Disgust,0.774102509021759
Disgust,Surprise,0.7740957736968994
Neutral,Surprise,0.7721193432807922
Disgust,Neutral,0.768439531326294
Fear,Surprise,0.7658447027206421
Neutral,Sad,0.7592025995254517
Anger,Surprise,0.7590948939323425
Happy,Neutral,0.7585322856903076
Happy,Disgust,0.7556761503219604
Disgust,Fear,0.754625678062439
Happy,Sad,0.7541947960853577
Neutral,Surprise,0.7541094422340393
Anger,Disgust,0.7507520914077759
Neutral,Sad,0.7506185173988342
Neutral,Surprise,0.7486598491668701
Happy,Neutral,0.748577356338501
Fear,Sad,0.7485155463218689
Neutral,Sad,0.7444999814033508
Neutral,Sad,0.74375981092453
Sad,Neutral,0.7435402870178223
Disgust,Neutral,0.7430466413497925
Neutral,Sad,0.7427793145179749
Anger,Disgust,0.7405141592025757
Happy,Disgust,0.7393826246261597
Happy,Neutral,0.7374855875968933
Happy,Neutral,0.7337558269500732
Disgust,Sad,0.7335577607154846
Sad,Disgust,0.7327644228935242
Disgust,Sad,0.7312120199203491
Happy,Neutral,0.7274498343467712
Happy,Surprise,0.7263516783714294
Disgust,Sad,0.7261000275611877
Neutral,Disgust,0.7253504991531372
Happy,Neutral,0.7228356599807739
Neutral,Disgust,0.7219768762588501
Happy,Disgust,0.721952497959137
Happy,Neutral,0.7206231951713562
Surprise,Fear,0.7201966047286987
Happy,Disgust,0.7163776755332947
Anger,Fear,0.716259777545929
Happy,Neutral,0.713559627532959
Sad,Disgust,0.7132915258407593
Sad,Neutral,0.7116625308990479
Neutral,Sad,0.7115201950073242
Neutral,Sad,0.709870457649231
Sad,Fear,0.7093494534492493
Surprise,Disgust,0.7084488272666931
Happy,Neutral,0.708113431930542
Neutral,Sad,0.707001805305481
Neutral,Disgust,0.7055517435073853
Fear,Sad,0.7048546671867371
Fear,Surprise,0.7014452219009399
Fear,Sad,0.7009278535842896
Fear,Neutral,0.6986398100852966
Neutral,Sad,0.6971187591552734
Surprise,Neutral,0.6925228238105774
Happy,Sad,0.6914554834365845
Happy,Neutral,0.691377580165863
Sad,Neutral,0.6898578405380249
Happy,Neutral,0.6833603978157043
Surprise,Neutral,0.6826710104942322
Happy,Surprise,0.6818000674247742
Happy,Neutral,0.680999755859375
Neutral,Sad,0.6785092353820801
Happy,Neutral,0.6759449243545532
Happy,Anger,0.6758599281311035
Fear,Surprise,0.6739338040351868
Neutral,Surprise,0.6718429327011108
Neutral,Sad,0.6695770621299744
Neutral,Surprise,0.6685196161270142
Neutral,Surprise,0.666266143321991
Neutral,Surprise,0.6660708785057068
Happy,Disgust,0.665312647819519
