true,predicted,confidence
Disgust,Sad,0.999998927116394
Disgust,Happy,0.9999951124191284
Happy,Surprise,0.9999923706054688
Fear,Happy,0.999975323677063
Disgust,Happy,0.9999581575393677
Neutral,Sad,0.9999498128890991
Sad,Neutral,0.9998108744621277
Disgust,Neutral,0.9996647834777832
Anger,Surprise,0.9996438026428223
Sad,Neutral,0.9996080994606018
Happy,Neutral,0.9995844960212708
Fear,Surprise,0.9995538592338562
Neutral,Surprise,0.999546229839325
Disgust,Anger,0.99950110912323
Happy,Disgust,0.999472439289093
Disgust,Surprise,0.9994307160377502
Disgust,Sad,0.9992942810058594
Disgust,Happy,0.9992159605026245
Happy,Neutral,0.9991256594657898
Fear,Happy,0.9990033507347107
Happy,Neutral,0.9989364743232727
Happy,Neutral,0.9989014863967896
Disgust,Happy,0.9988173842430115
Fear,Neutral,0.9986555576324463
Surprise,Neutral,0.9985710382461548
Disgust,Neutral,0.9983121156692505
Sad,Happy,0.9982941746711731
Fear,Sad,0.998164713382721
Anger,Sad,0.9980668425559998
Happy,Neutral,0.9979400038719177
Happy,Neutral,0.9975380897521973
Disgust,Anger,0.9975225329399109
Surprise,Happy,0.9974038004875183
Neutral,Sad,0.9972801208496094
Happy,Sad,0.9972687363624573
Neutral,Sad,0.9969478249549866
Anger,Neutral,0.9966626763343811
Anger,Surprise,0.9966529011726379
Disgust,Neutral,0.9965786337852478
Sad,Disgust,0.9965014457702637
Sad,Happy,0.9964672327041626
Anger,Surprise,0.9964489936828613
Neutral,Sad,0.9962617754936218
Happy,Neutral,0.996208667755127
Neutral,Surprise,0.9959813356399536
Anger,Neutral,0.9959551095962524
Happy,Neutral,0.995817244052887
Sad,Happy,0.9956159591674805
Sad,Disgust,0.9949676394462585
Neutral,Happy,0.9949550032615662
Neutral,Happy,0.9946586489677429
Disgust,Neutral,0.9946335554122925
Fear,Disgust,0.9945523142814636
Anger,Sad,0.9944906234741211
Neutral,Surprise,0.9942796230316162
Sad,Neutral,0.9941732287406921
Disgust,Neutral,0.9933100938796997
Happy,Neutral,0.9927780032157898
Sad,Neutral,0.992708146572113
Neutral,Surprise,0.9925219416618347
Neutral,Sad,0.9924651384353638
Disgust,Happy,0.9924267530441284
Neutral,Happy,0.9923530220985413
Happy,Neutral,0.992215096950531
Happy,Surprise,0.9921312928199768
Neutral,Happy,0.9916879534721375
Neutral,Happy,0.9913423657417297
Surprise,Fear,0.9913420081138611
Fear,Neutral,0.9913115501403809
Neutral,Surprise,0.9912206530570984
Happy,Neutral,0.9910701513290405
Fear,Sad,0.9906051754951477
Anger,Happy,0.9902235865592957
Neutral,Sad,0.9895586967468262
Surprise,Neutral,0.989208996295929
Neutral,Sad,0.9890936613082886
Anger,Neutral,0.9886841177940369
Neutral,Sad,0.9884335398674011
Happy,Sad,0.9882966876029968
Neutral,Happy,0.9880285263061523
Disgust,Sad,0.9876741766929626
Neutral,Happy,0.9876676201820374
Surprise,Neutral,0.9874889254570007
Surprise,Fear,0.9873342514038086
Happy,Neutral,0.9871866703033447
Disgust,Neutral,0.9870713353157043
Disgust,Neutral,0.9860619902610779
Sad,Neutral,0.986048698425293
Neutral,Sad,0.9857600331306458
Sad,Neutral,0.9851592183113098
Neutral,Sad,0.9851112961769104
Happy,Anger,0.9850913882255554
Fear,Sad,0.9849444031715393
Sad,Neutral,0.9849098324775696
Neutral,Happy,0.9842292070388794
Neutral,Disgust,0.9833827614784241
Anger,Fear,0.9829241633415222
Surprise,Fear,0.9825641512870789
Happy,Sad,0.9820246696472168
Happy,Neutral,0.981805145740509
Neutral,Happy,0.9812878370285034
Neutral,Surprise,0.9812842011451721
Disgust,Neutral,0.9808310866355896
Happy,Sad,0.979482889175415
Anger,Neutral,0.9792628884315491
Happy,Neutral,0.9792460203170776
Surprise,Fear,0.9786064028739929
Disgust,Happy,0.97785484790802
Neutral,Happy,0.9768536686897278
Neutral,Sad,0.9764205813407898
Disgust,Anger,0.975976288318634
Happy,Neutral,0.9754849672317505
Neutral,Sad,0.9753462672233582
Neutral,Sad,0.9752256274223328
Sad,Happy,0.9750334024429321
Surprise,Happy,0.9748736023902893
Sad,Happy,0.9746184349060059
Happy,Neutral,0.9745239019393921
Neutral,Sad,0.9729544520378113
Anger,Neutral,0.9728144407272339
Disgust,Sad,0.9725496172904968
Sad,Neutral,0.9725300073623657
Sad,Happy,0.9721437692642212
Sad,Neutral,0.9719434976577759
Disgust,Sad,0.9718044400215149
Surprise,Neutral,0.9710832238197327
Surprise,Fear,0.9709888696670532
Disgust,Happy,0.970503032207489
Disgust,Neutral,0.969667911529541
Disgust,Neutral,0.9693483710289001
Disgust,Happy,0.9691582918167114
Neutral,Happy,0.9686177968978882
Happy,Surprise,0.9678753018379211
Neutral,Sad,0.9678024649620056
Neutral,Surprise,0.9670730233192444
Surprise,Disgust,0.9670007824897766
Neutral,Sad,0.9663612246513367
Disgust,Happy,0.9661191701889038
Disgust,Happy,0.9655890464782715
Surprise,Disgust,0.9653257131576538
Disgust,Sad,0.9653087258338928
Happy,Anger,0.9650998115539551
Neutral,Happy,0.9650830626487732
Neutral,Disgust,0.9647359848022461
Neutral,Happy,0.9642521739006042
Sad,Disgust,0.9622687697410583
Neutral,Sad,0.9609377384185791
