scenario_id,true,clips,accuracy
S27_F06,Disgust,10,0.0
S04_F04,Sad,61,0.03278688524590164
S23_F08,Disgust,30,0.06666666666666667
S19_F02,Fear,53,0.1509433962264151
S06_F08,Disgust,58,0.20689655172413793
S28_F10,Sad,66,0.2727272727272727
S21_F04,Sad,57,0.3333333333333333
S24_F07,Anger,58,0.43103448275862066
S05_F02,Anger,43,0.46511627906976744
S26_F02,Surprise,48,0.4791666666666667
S25_F09,Happy,56,0.48214285714285715
S02_F01,Happy,60,0.5
S18_F01,Happy,70,0.6
S12_F01,Happy,54,0.6296296296296297
S11_F05,Happy,53,0.660377358490566
S22_F05,Neutral,59,0.7288135593220338
S08_F06,Neutral,56,0.8035714285714286
S09_F02,Surprise,50,0.82
S07_F03,Neutral,58,0.8620689655172413
S29_F03,Neutral,56,0.8928571428571429
S03_F05,Neutral,45,0.9111111111111111
S20_F03,Neutral,63,0.9682539682539683
S01_F04,Neutral,70,0.9857142857142858
