scenario_id,true,clips,accuracy
S27_F06,Disgust,10,0.0
S19_F02,Fear,53,0.0
S05_F02,Anger,43,0.046511627906976744
S06_F08,Disgust,58,0.08620689655172414
S04_F04,Sad,61,0.09836065573770492
S23_F08,Disgust,30,0.1
S24_F07,Anger,58,0.13793103448275862
S28_F10,Sad,66,0.3181818181818182
S21_F04,Sad,57,0.38596491228070173
S09_F02,Surprise,50,0.46
S26_F02,Surprise,48,0.5
S18_F01,Happy,70,0.6285714285714286
S25_F09,Happy,56,0.6607142857142857
S02_F01,Happy,60,0.7
S12_F01,Happy,54,0.8148148148148148
S22_F05,Neutral,59,0.8305084745762712
S03_F05,Neutral,45,0.8444444444444444
S11_F05,Happy,53,0.8867924528301887
S07_F03,Neutral,58,0.896551724137931
S29_F03,Neutral,56,0.9285714285714286
S08_F06,Neutral,56,0.9464285714285714
S20_F03,Neutral,63,0.9523809523809523
S01_F04,Neutral,70,0.9714285714285714
