scenario_id,true,clips,accuracy
S27_F06,Disgust,10,0.0
S23_F08,Disgust,30,0.1
S19_F02,Fear,53,0.16981132075471697
S28_F10,Sad,66,0.19696969696969696
S05_F02,Anger,43,0.20930232558139536
S06_F08,Disgust,58,0.25862068965517243
S04_F04,Sad,61,0.26229508196721313
S21_F04,Sad,57,0.3157894736842105
S02_F01,Happy,60,0.45
S26_F02,Surprise,48,0.4583333333333333
S25_F09,Happy,56,0.4642857142857143
S24_F07,Anger,58,0.46551724137931033
S12_F01,Happy,54,0.5
S11_F05,Happy,53,0.5283018867924528
S09_F02,Surprise,50,0.54
S18_F01,Happy,70,0.5428571428571428
S22_F05,Neutral,59,0.7288135593220338
S29_F03,Neutral,56,0.875
S08_F06,Neutral,56,0.8928571428571429
S20_F03,Neutral,63,0.9206349206349206
S03_F05,Neutral,45,0.9333333333333333
S07_F03,Neutral,58,0.9482758620689655
S01_F04,Neutral,70,0.9714285714285714
