scenario_id,true,clips,accuracy
S27_F06,Disgust,10,0.0
S23_F08,Disgust,30,0.6
S26_F02,Surprise,48,0.6041666666666666
S06_F08,Disgust,58,0.6724137931034483
S18_F01,Happy,70,0.7142857142857143
S25_F09,Happy,56,0.7142857142857143
S02_F01,Happy,60,0.7166666666666667
S19_F02,Fear,53,0.7547169811320755
S24_F07,Anger,58,0.8103448275862069
S22_F05,Neutral,59,0.8135593220338984
S20_F03,Neutral,63,0.8412698412698413
S28_F10,Sad,66,0.8939393939393939
S05_F02,Anger,43,0.9302325581395349
S03_F05,Neutral,45,0.9555555555555556
S01_F04,Neutral,70,0.9571428571428572
S09_F02,Surprise,50,0.96
S21_F04,Sad,57,0.9649122807017544
S11_F05,Happy,53,0.9811320754716981
S29_F03,Neutral,56,0.9821428571428571
S07_F03,Neutral,58,0.9827586206896551
S12_F01,Happy,54,1.0
S08_F06,Neutral,56,1.0
S04_F04,Sad,61,1.0
