scenario_id,true,clips,accuracy
S27_F06,Disgust,10,0.0
S23_F08,Disgust,30,0.6
S26_F02,Surprise,48,0.6041666666666666
S18_F01,Happy,70,0.6571428571428571
S25_F09,Happy,56,0.6785714285714286
S02_F01,Happy,60,0.7666666666666667
S06_F08,Disgust,58,0.7931034482758621
S19_F02,Fear,53,0.8113207547169812
S22_F05,Neutral,59,0.8135593220338984
S24_F07,Anger,58,0.8275862068965517
S20_F03,Neutral,63,0.8412698412698413
S05_F02,Anger,43,0.9069767441860465
S28_F10,Sad,66,0.9090909090909091
S21_F04,Sad,57,0.9298245614035088
S03_F05,Neutral,45,0.9555555555555556
S09_F02,Surprise,50,0.96
S29_F03,Neutral,56,0.9642857142857143
S08_F06,Neutral,56,0.9642857142857143
S07_F03,Neutral,58,0.9655172413793104
S04_F04,Sad,61,0.9836065573770492
S11_F05,Happy,53,1.0
S12_F01,Happy,54,1.0
S01_F04,Neutral,70,1.0
